# ClawFactory released-artifact ledger.
#
# WHY THIS FILE EXISTS
# --------------------
# The version number stopped identifying the payload. 1.2.0 named THREE distinct
# ClawFactory installers, and before that the Studio filename sat at 1.1.0 across
# two rebuilds because electron-builder interpolates ${version} from
# desktop/package.json and nobody moved it. Each time the digest was the real
# authority and the version was decoration.
#
# Bumping a number fixes one instance. This file makes the recurrence STRUCTURAL:
# scripts/build_release.ps1 refuses to sign a build whose version already appears
# here against a DIFFERENT digest, and appends a row on every build that signs.
# Reusing a version for new content stops being possible rather than being
# something a tired person has to remember at 2am.
#
# WHAT THE DIGEST IS, AND WHY THE KIND COLUMN EXISTS
# ---------------------------------------------------
# The gate compares the UNSIGNED compiled bytes. Signing embeds a countersigned
# timestamp, so a signed file's digest differs on every run over identical input
# and could never be compared against anything. The unsigned digest is the one an
# Inno compile makes deterministic.
#
# Rows written by the gate are kind=unsigned. Rows BACKFILLED from close-outs
# carry kind=signed, because a signed digest is the only value those close-outs
# recorded and the unsigned bytes no longer exist to re-derive. A backfilled row
# is an audit record, NOT a comparison baseline: the gate refuses to compare
# against kind=signed and says so, rather than reporting a mismatch that is really
# just two different things being measured. Only rows the gate wrote are evidence
# the gate saw them.
#
# Columns, tab-separated:
#   version  artifact  digest_kind  sha256  bytes  date_utc  note
#
version	artifact	digest_kind	sha256	bytes	date_utc	note
1.2.0	ClawFactory-Secure-Setup.exe	signed	6282a228e620d7d580f7bedadb0a96c9b166f037f2dd83645911b5fcf90603f0	440596328	2026-08-14	backfilled from the Guard 3 close-out; the third distinct payload shipped at this version, which is why this ledger exists
1.3.0	ClawFactory-Secure-Setup.exe	unsigned	26e7b29178c2c475ac0c74f6197c3d4a34b45d7709a023156a01164647bd945d	440587611	2026-08-15	written by scripts/build_release.ps1 after all gates passed and the artifact was signed. SUPERSEDED BEFORE VALIDATION, never released: a toolchain policy section that was present but not an object read as ON instead of denying, which contradicted the documented fail-closed rule. The row is KEPT rather than deleted, and the fix shipped as 1.3.1. Deleting it to let a changed 1.3.0 rebuild through would be exactly the 2am shortcut this ledger exists to prevent.
1.3.1	ClawFactory-Secure-Setup.exe	unsigned	af2fb2e82a04d0c4cf5853a2ea51be472de585947f2b0e7d89760bac94f7f712	440582502	2026-08-15	written by scripts/build_release.ps1 after all gates passed and the artifact was signed
1.3.2	ClawFactory-Secure-Setup.exe	unsigned	b87442f338b0f2806bdcbeca3e73fcf7be72b507aa3670baa20d08037fdd7b0d	440588235	2026-08-15	written by scripts/build_release.ps1 after all gates passed and the artifact was signed
1.3.3	ClawFactory-Secure-Setup.exe	unsigned	3de5c5af5cc81182c523d18194ed9d76c824359495c3418e9e9e620769c947c6	440591218	2026-08-15	written by scripts/build_release.ps1 after all gates passed and the artifact was signed
1.3.4	ClawFactory-Secure-Setup.exe	unsigned	df1d89210cf40b5d3721f8ea43283f3344cc093301c651d16932f92b9b5fb642	440591811	2026-08-18	written by scripts/build_release.ps1 after all gates passed and the artifact was signed
1.3.5	ClawFactory-Secure-Setup.exe	unsigned	2c3e50f07afbdd67894d9fad76916e38666d00f6a30f5f3b3be9359112e38d55	440599315	2026-08-19	written by scripts/build_release.ps1 after all gates passed and the artifact was signed
1.4.0	ClawFactory-Secure-Setup.exe	unsigned	67c3b21a7e9abc2be8475aa32a6abe58729772ff0c893c7480ea7db6397201ef	440597857	2026-08-23	written by scripts/build_release.ps1 after all gates passed and the artifact was signed
1.4.1	ClawFactory-Secure-Setup.exe	unsigned	a26e9a586dc4d3db0c0d13f591ed4ce957f5c85838c14d652738c9443f151f6f	440586571	2026-08-24	written by scripts/build_release.ps1 after all gates passed and the artifact was signed
1.4.2	ClawFactory-Secure-Setup.exe	unsigned	28c04add21950e5bc573adcaef1235f6fecb2a3199dc5392b3b0e249c452b0b2	440594602	2026-08-26	written by scripts/build_release.ps1 after all gates passed and the artifact was signed
